"ID","Code","Year","Nog controlleren","Niet relevant","Ingegeven","Publicatie"
"L001","1",1878,0,0,1,"BECKER, L., 1878. Catalogue des Arachnides de Belgique (1ier partie). Annales de la Société entomologique de Belgique, 21 : 45-62.              "
"L002","2",1878,0,0,1,"BECKER, L., 1878. Aranéides nouveaux pour la faune belge. Annales de la Société entomologique de Belgique, 21 : 187-188.              "
"L003","3",1878,1,0,0,"BECKER, L., 1878. Découverte en Belgique du Salticus formicarius DE GEER. Annales de la Société entomologique de Belgique, 21 : LXI-LXII.              "
"L004","4",1878,0,1,0,"BECKER, L., 1878. Quelques mots sur les travaux des Araignées. Annales de la Société entomologique de Belgique, 21 : CXXVII CXXXII.              "
"L005","5",1878,0,1,0,"BECKER, L., 1878. De l'amour maternel chez l'Araignée. Annales de la Société entomologique de Belgique, 21 : CLIII CLIX.              "
"L006","6",1878,0,0,1,"BECKER, L., 1878. Excursion annuelle au barrage de laGileppe. Aranéides recueillies par M. PIERRET, les 16 et 17 juin 1878. Annales de la Société entomologique de Belgique, 21 : CLXXIV.              "
"L007","7",1878,0,0,1,"BECKER, L., 1878. Aranéides recueillies par Mr. H. DONCKIER en 1877 et 1878 dans diverses localités de la Belgique. Annales de la Société entomologique de Belgique, 21 : CLXXV CLXXVII.              "
"L008","8",1878,0,1,0,"BECKER, L., 1878. La lutte pour la vie chez l'Araignée. Annales de la Société entomologique de Belgique, 21 : CLXXVII CLXXXV.              "
"L009","9",1879,0,0,1,"BECKER, L., 1879. Catalogue des Arachnides de Belgique (2ième partie). Annales de la Société entomologique de Belgique, 22 : 24 30.              "
"L010","10",1879,0,0,1,"BECKER, L., 1879. Catalogue des Arachnides de Belgique (3ième partie). Annales de la Société entomologique de Belgique, 22 : 101 108.              "
"L011","11",1879,1,0,0,"BECKER, L., 1879. Diagnose d'une nouvelle espèce d'Aranéide d'Europe. (Tegenaria Berthae sp. n.). Annales de la Société entomologique de Belgique, 22 : XX XXI.              "
"L012","12",1879,0,1,0,"BECKER, L., 1879. Caractères généraux des Aranéides (et) classement. (Abrégé de l'Histoire naturelle des Aranéides de Belgique). Annales de la Société entomologique de Belgique, 22 : XXI XXXIV.              "
"L013","13",1879,0,0,1,"BECKER, L., 1879. Note sur cinq espèces d'Araignées rares trouvées en Belgique. Annales de la Société entomologique de Belgique, 22 : LX LXI.              "
"L014","14",1879,0,0,1,"BECKER, L., 1879. Aranéides nouveaux pour la faune de Belgique. Annales de la Société entomologique de Belgique, 22 : LXXXXIX XC.              "
"L015","15",1879,0,0,1,"BECKER, L., 1879. Communications arachnologiques. Annales de la Société entomologique de Belgique, 22 : XCV CII, CXXII-CXXVII, CLXX-CLXXIV.              "
"L016","16",1879,0,1,0,"BECKER, L., 1879. Quelques mots sur les travaux des Araignées, 2ième  article. Annales de la Société entomologique de Belgique, 22 : CX CXVIII.              "
"L017","17",1879,0,0,1,"BECKER, L., 1879. Aranéides nouveaux pour la faune belge. Annales de la Société entomologique de Belgique, 22 : CXXVII CXXVIII.              "
"L018","18",1879,0,1,0,"BECKER, L., 1879. Description d'Aranéides d'Europe nouveaux. Annales de la Société entomologique de Belgique, 22 : CXLV CXLVII.              "
"L019","19",1879,1,0,0,"BECKER, L., 1879. Excursion mensuelle du 12 octobre 1879, dans les bois de la Houssière. Arachnides récoltés par MM. DE BORRE et DONCKIER. Annales de la Société entomologique de Belgique, 22 : CLXIII.              "
"L020","20",1879,0,0,1,"BECKER, L., 1879. Espèces nouvelle d'Arachnides de Belgique. Annales de la Société entomologique de Belgique, 22 : CLXXIV CLXXVI.              "
"L021","21",1880,0,0,1,"BECKER, L., 1880. Communications arachnologiques. Excursions en Belgique. Aranéides nouveaux pour la faune de Belgique. Annales de la Société entomologique de Belgique, 23 : CXLII CXLIII.              "
"L022","22",1880,0,0,1,"BECKER, L., 1880. Communications arachnologiques : sur les moers de deux espèces de Lycoses. Annales de la Société entomologique de Belgique, 23 : CLV CLVIII.              "
"L023","23",1880,0,0,1,"BECKER, L., 1880. Communications arachnologiques. Captures en Belgique (Mariembourg). Espèces nouvelles pour la faune de Belgique. Annales de la Société entomologique de Belgique, 23, C.R. : CLXXXI CLXXXII.              "
"L024","24",1880,0,0,1,"BECKER, L., 1880. Communications arachnologiques : Arachnides recueillies à  Mariembourg par M. DUVIVIER. Annales de la Société entomologique de Belgique, 23 : CLXXXVIII CLXXXIX.              "
"L025","25",1881,0,0,1,"BECKER, L., 1881. Communications arachnologiques : Aranéide nouveau pour la faune belge. Annales de la Société entomologique de Belgique, 25 : XXIX.              "
"L026","26",1881,0,1,0,"BECKER, L., 1881. Présentation de deux planches d'Arachnides. Annales de la Société entomologique de Belgique, 25 : XLIV XLVII, pl. I-II.              "
"L027","27",1881,0,0,1,"BECKER, L., 1881. Aranéides de Belgique. Annales de la Société entomologique de Belgique, 25 : LXVII LXVIII.              "
"L028","28",1881,0,0,1,"BECKER, L., 1881. Communications arachnologiques. Excursion à  Hennuyère. Récoltes de M. DUVIVIER. Espèces nouvelles pour la faune de Belgique. Annales de la Société entomologique de Belgique, 25 : LXXV LXXVIII.              "
"L029","29",1881,0,0,1,"BECKER, L., 1881. Communications arachnologiques. Excursion à  Heyst. Espèces nouvelles pour la faune de Belgique. Annales de la Société entomologique de Belgique, 25 : CIV CVII.              "
"L030","30",1881,0,0,1,"BECKER, L., 1881. Communications arachnologiques. Exploration aux environs de Laroche. Espèces nouvelles pour la faune de Belgique. Annales de la Société entomologique de Belgique, 25 : CXIV CXVIII.              "
"L031","31",1881,0,0,1,"BECKER, L., 1881. Communications arachnologiques. Exploration de la vallée de l'Ourthe. Espèces nouvelles pour la faune de Belgique. Annales de la Société entomologique de Belgique, 25 : CLI CLIII.              "
"L032","32",1881,0,0,1,"BECKER, L., 1881. Communications arachnologiques. Liste de captures en Belgique. Espèces nouvelles pour la faune de Belgique. Annales de la Société entomologique de Belgique, 25 : CLVII CLVIII.              "
"L033","33",1882,0,1,0,"BECKER, L., 1882. Les Arachnides de Belgique (1ième  partie). Ann. Mus. r. Hist. nat. Belg., X : 1 246, pl. I-XXVII.              "
"L034","34",1882,0,1,0,"BECKER, L., 1882. Défense du principe de la priorité au point de vue de la nomenclature des Araignées. Annales de la Société entomologique de Belgique, 26, C.R. : CXXVI.              "
"L035","35",1884,0,1,0,"BECKER, L., 1884. Mémoires d'une Lycose. Bruxelles, 1 179, 9 figs.              "
"L036","36",1884,0,0,1,"LAMEERE, A., 1884. L'Argyroneta aquatica prise à  Rosière Saint André (La Hulpe). Annales de la Société entomologique de Belgique, 28 : CLXXXI.              "
"L037","37",1885,0,1,0,"BECKER, L., 1885. Catalogue des Arachnides de Belgique. Révision des espèces belges de la famille des Theridionidae. Annales de la Société entomologique de Belgique, 29 : XCIII C.              "
"L038","38",1886,1,0,0,"BECKER, L., 1886. Communication : Arachnide nouveau pour la faune de Belgique. Annales de la Société entomologique de Belgique, 30 : XXII.              "
"L039","39",1886,0,1,0,"BECKER, L., 1886. Diagnoses de quelques Arachnides nouveaux. Annales de la Société entomologique de Belgique, 30 : XXIII XXVII.              "
"L040","40",1892,0,0,1,"BECKER, L., 1892. Sur le Pholcus phalangioides, FUESSLY, 1775. Annales de la Société entomologique de Belgique, 36 : 539 540.              "
"L041","41",1896,0,1,0,"BECKER, L., 1896. Les Arachnides de Belgique (2ième  partie). Ann. Mus. r. Hist. nat. Belg., XII : 1 127, pl. I-XXV.              "
"L042","42",1896,1,0,0,"BECKER, L., 1896. Les Arachnides de Belgique (3ième  partie). Ann. Mus. r. Hist. nat. Belg., XII : 1 378, pl. I-XXVIII.              "
"L043","43",1901,0,0,1,"BECKER, L., 1901. Communication : Aranéides nouveaux pour la faune belge, collectés à  Theux. Annales de la Société entomologique de Belgique, 45 : 6 7.              "
"L044","44",1906,0,0,1,"LAMEERE, A., 1906. Communication : capture de deux Arachnides : Pholcus phalangioides FUESSL. et Scytodes thoracica LATR.. Annales de la Société entomologique de Belgique, 50 : 282.              "
"L045","45",1925,0,1,0,"GILTAY, L., 1925. Remarques sur l'éthologie des Lycosides. Bulletin et Annales de la Société entomologique de Belgique, 65 : 87 89.              "
"L046","46",1926,0,1,0,"GILTAY, L., 1926. Remarques sur la classification et la phylogénie des familles d'Araignées. Bulletin et Annales de la Société entomologique de Belgique, 66 : 115 131.              "
"L047","47",1927,1,0,0,"GILTAY, L., 1927. Communication : capture de 2 Araignées nouvelles pour la faune : Tetragnatha Solandrii SCOP. et Aelurillus festivus C.L. KOCH. Bulletin et Annales de la Société entomologique de Belgique, 67 : 184.              "
"L048","48",1927,0,0,1,"THOMAS, M., 1927. Communication : Araneus quadratus CLERCK recueillis à  Westende. Bulletin et Annales de la Société entomologique de Belgique, 67 : 249 250.              "
"L049","49",1928,1,0,0,"GILTAY, L., 1928. Communication : 1 _ de Drassodes myogaster (BERTK.) (f. nov. sp.) capturée à  Westende. Bulletin et Annales de la Société entomologique de Belgique, 68 : 144.              "
"L050","50",1928,0,1,0,"TMOMAS, M., 1928. Communication : sur Scytodes thoracica, Agelena labyrinthica et Ocyale mirabilis. Bulletin et Annales de la Société entomologique de Belgique, 68 : 144.              "
"L051","51",1929,0,0,1,"TMOMAS, M., 1929. Capture d'Araignées à  Dour. Bulletin des naturalistes de Mons et du Borinage, 9 10 : 96 97.              "
"L052","52",1931,0,0,1,"TMOMAS, M., 1931. Communication : un Misumena vatia Cl. capturé à  Morialmé. Bulletin et Annales de la Société entomologique de Belgique, 71 : 122.              "
"L053","53",1932,0,0,1,"THOMAS, M., 1932. Communication. Bulletin et Annales de la Société entomologique de Belgique, 72 : 124.              "
"L054","54",1933,0,0,1,"FAGE, L., 1933. Les Arachnides cavernicoles de Belgique. Bulletin de la Société Entomologique de  France, XXXVIII (4) : 53 56.              "
"L055","55",1933,0,1,0,"LERUTH, R., 1933. Exploration biologique des cavernes de la Belgique et du Limbourg hollandais. XIVième  contribution : Introduction et liste des grottes visitées de décembre 1931 à  janvier 1933. Natuurhistorisch Maandblad, 22 (5 10) : 54 56.            "
"L056","56",1933,0,0,1,"TMOMAS, M., 1933. Communication : un Marpissa muscosa Cl. (Attidae) pris aux environs de Chaudfontaine. Bulletin et Annales de la Société entomologique de Belgique, 73 : 268.              "
