"ID","FN","FA","SA + SYN","SZ + SYN","SNL","FSC","SC","FC","VL","RL","RL-C (E)","RL-C (NL)","RL-C (ci)","HAB (NL)","HAB (E)","SZ","PRESENT"
289,27,"AGELENIDAE","Agelena gracilens C.L. KOCH, 1841","Agelena gracilens","Kleine doolhofspin","AGEAGGRAC","AGGRAC","AGE","FL","RL","IK","OG",8,"Y","Y","Agelena gracilens",1
290,27,"AGELENIDAE","Agelena labyrinthica (CLERCK, 1757)","Agelena labyrinthica",,"AGEAGLABY","AGLABY","AGE","FL",,"NT","NB",6,,"-","Agelena labyrinthica",1
291,27,"AGELENIDAE","Coelotes atropos (WALCKENAER, 1825)","Coelotes atropos","Britse bostrechterspin","AGECOATRO","COATRO","AGE","FL","RL","IK","OG",8,"Y","Y","Coelotes atropos",1
292,27,"AGELENIDAE","Coelotes inermis (L. KOCH, 1855)","Coelotes inermis","Leemtrechterspin","AGECOINER","COINER","AGE","FL","RL","RG","GB",5,"N","N","Coelotes inermis",1
293,27,"AGELENIDAE","Coelotes terrestris (WIDER, 1834)","Coelotes terrestris","Gewone bostrechterspin","AGECOTERR","COTERR","AGE","FL","RL","VU","KW",3,"Bldd","Fddd","Coelotes terrestris",1
294,27,"AGELENIDAE","Cryphoeca silvicola (C.L. KOCH, 1834)","Cryphoeca silvicola","Kleine bostrechterspin","AGECRSILV","CRSILV","AGE","FL","RL","EN","IG",2,"Bldd","Fddd","Cryphoeca silvicola",1
295,27,"AGELENIDAE","Histopona torpida (C.L. KOCH, 1834)","Histopona torpida","Slanke bostrechterspin","AGEHITORP","HITORP","AGE","FL","RL","RG","GB",5,"N","N","Histopona torpida",1
296,27,"AGELENIDAE","Tegenaria agrestis (WALCKENAER, 1802)","Tegenaria agrestis",,"AGETEAGRE","TEAGRE","AGE","FL",,"NT","NB",6,,"-","Tegenaria agrestis",1
297,27,"AGELENIDAE","Tegenaria atrica C.L. KOCH, 1843","Tegenaria atrica",,"AGETEATRI","TEATRI","AGE","FL",,"NT","NB",6,,"-","Tegenaria atrica",1
305,27,"AGELENIDAE","Textrix caudata L. KOCH, 1872","Textrix caudata","Zwarte staartspin","AGETECAUD","TECAUD","AGE","FL",,"NT","NB",6,,"-","Textrix caudata",1
306,27,"AGELENIDAE","Textrix denticulata (OLIVIER, 1789)","Textrix denticulata",,"AGETEDENT","TEDENT","AGE","FL",,"NT","NB",6,,"-","Textrix denticulata",1
298,27,"AGELENIDAE","Tegenaria domestica (CLERCK, 1757)","Tegenaria domestica",,"AGETEDOME","TEDOME","AGE","FL",,"NT","NB",6,,"-","Tegenaria domestica",1
299,27,"AGELENIDAE","Tegenaria ferruginea (PANZER, 1804)","Tegenaria ferruginea",,"AGETEFERR","TEFERR","AGE","FL",,"NT","NB",6,,"-","Tegenaria ferruginea",1
300,27,"AGELENIDAE","Tegenaria pagana C.L. KOCH, 1841","Tegenaria pagana",,"AGETEPAGA","TEPAGA","AGE","FL","RL","IK","OG",8,"Y","Y","Tegenaria pagana",1
301,27,"AGELENIDAE","Tegenaria parietina (FOURCROY, 1785)","Tegenaria parietina",,"AGETEPARI","TEPARI","AGE","FL",,"NT","NB",6,,"-","Tegenaria parietina",1
302,27,"AGELENIDAE","Tegenaria picta SIMON, 1870","Tegenaria picta",,"AGETEPICT","TEPICT","AGE","FL",,"NT","NB",6,,"-","Tegenaria picta",1
303,27,"AGELENIDAE","Tegenaria saeva BLACKWALL, 1844","Tegenaria saeva",,"AGETESAEV","TESAEV","AGE","FL",,"NT","NB",6,,"-","Tegenaria saeva",1
304,27,"AGELENIDAE","Tegenaria silvestris L. KOCH, 1872","Tegenaria silvestris","Steentrechterspin","AGETESILV","TESILV","AGE","FL","RL","VU","KW",3,"Bldd","Fddd","Tegenaria silvestris",1
4,3,"AMAUROBIIDAE","Amaurobius claustrarius (HAHN, 1831)","Amaurobius claustrarius",,"AMAAMCLAU","AMCLAU","AMA",,,"NT","NB",6,,"-","Amaurobius claustrarius",1
5,3,"AMAUROBIIDAE","Amaurobius erberi (KEYSERLING, 1863)","Amaurobius erberi",,"AMAAMERBE","AMERBE","AMA",,,"NT","NB",6,,"-","Amaurobius erberi",1
6,3,"AMAUROBIIDAE","Amaurobius fenestralis (STROEM, 1768)","Amaurobius fenestralis",,"AMAAMFENE","AMFENE","AMA","FL",,"NT","NB",6,,"-","Amaurobius fenestralis",1
7,3,"AMAUROBIIDAE","Amaurobius ferox (WALCKENAER, 1825)","Amaurobius ferox",,"AMAAMFERO","AMFERO","AMA","FL",,"NT","NB",6,,"-","Amaurobius ferox",1
8,3,"AMAUROBIIDAE","Amaurobius similis (BLACKWALL, 1845)","Amaurobius similis",,"AMAAMSIMI","AMSIMI","AMA","FL",,"NT","NB",6,,"-","Amaurobius similis",1
429,35,"ANAPIDAE","Comaroma simoni BERTKAU, 1889","Comaroma simoni",,"ANACOSIMO","COSIMO","ANA",,,"NT","NB",6,,"-","Comaroma simoni",1
130,18,"ANYPHAENIDAE","Anyphaena accentuata (WALCKENAER, 1802)","Anyphaena accentuata",,"ANYANACCE","ANACCE","ANY","FL",,"NT","NB",6,,"-","Anyphaena accentuata",1
